Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
1.jpg	0.60%	0.51%	0.09%	0.08%	1605
2.jpg	0.92%	0.51%	0.41%	0.12%	1705
3.jpg	2.48%	1.27%	1.21%	0.85%	1861
4.jpg	3.55%	1.83%	1.73%	0.81%	1532
5.jpg	11.64%	5.17%	6.47%	2.61%	1462
6.jpg	28.27%	12.75%	15.52%	2.50%	1646
7.jpg	38.17%	13.82%	24.35%	9.59%	1661
8.jpg	29.15%	10.82%	18.34%	33.20%	1598
9.jpg	74.67%	29.83%	44.83%	11.04%	1445
10.jpg	60.30%	25.58%	34.73%	32.79%	1830
