Identificador	RustIndex	Necrosis	Chlorosis	Threshold	Exetime
110.jpg	0.68%	0.68%	0.00%	0.18%	5058
111.jpg	2.06%	1.06%	1.00%	2.20%	3462
112.jpg	5.27%	3.47%	1.80%	2.31%	4711
113.jpg	0.78%	0.40%	0.37%	0.34%	5710
114.jpg	0.76%	0.61%	0.15%	0.38%	4200
115.jpg	1.81%	0.96%	0.85%	1.16%	4906
116.jpg	1.01%	0.54%	0.47%	0.17%	5170
117.jpg	1.37%	0.74%	0.63%	0.19%	5608
118.jpg	0.99%	0.51%	0.48%	0.52%	5743
119.jpg	77.22%	40.98%	36.24%	2.80%	2191
120.jpg	6.30%	2.82%	3.47%	3.61%	5129
121.jpg	4.52%	2.36%	2.15%	1.80%	3556
122.jpg	1.11%	0.69%	0.42%	0.81%	2886
123.jpg	0.84%	0.67%	0.17%	0.42%	3330
124.jpg	8.21%	3.25%	4.96%	1.64%	3189
125.jpg	1.07%	0.66%	0.41%	0.39%	5425
126.jpg	1.60%	1.17%	0.43%	0.88%	7680
127.jpg	1.85%	0.89%	0.96%	1.88%	5978
128.jpg	2.33%	1.65%	0.69%	1.53%	5224
129.jpg	1.44%	0.81%	0.63%	0.94%	5501
130.jpg	20.58%	8.46%	12.11%	5.75%	4877
131.jpg	7.02%	3.01%	4.01%	3.01%	4671
132.jpg	0.79%	0.46%	0.33%	0.54%	5692
133.jpg	37.22%	21.92%	15.30%	13.56%	7317
134.jpg	16.99%	8.18%	8.81%	4.06%	6560
135.jpg	28.87%	12.81%	16.06%	3.76%	7929
136.jpg	92.13%	70.02%	22.10%	3.08%	1944
137.jpg	39.13%	13.83%	25.30%	3.31%	2011
138.jpg	22.53%	10.96%	11.57%	4.49%	6045
139.jpg	19.78%	7.01%	12.77%	4.08%	5153
140.jpg	2.95%	1.12%	1.83%	1.53%	3126
141.jpg	38.53%	19.42%	19.11%	11.32%	3882
142.jpg	25.58%	11.22%	14.36%	5.46%	4383
143.jpg	50.93%	24.71%	26.23%	7.35%	4385
144.jpg	8.32%	2.65%	5.66%	1.18%	9306
145.jpg	98.78%	93.01%	5.78%	0.44%	9373
146.jpg	8.65%	4.27%	4.39%	2.90%	3564
147.jpg	0.17%	0.17%	0.00%	0.25%	3451
148.jpg	5.88%	3.28%	2.60%	1.72%	3535
149.jpg	55.43%	20.59%	34.84%	2.74%	6339
150.jpg	8.92%	5.25%	3.67%	3.29%	4342
151.jpg	4.42%	1.46%	2.96%	2.24%	4301
152.jpg	80.02%	51.25%	28.77%	3.03%	3450
